country_code, year, co2(tonnes), gdp(USD), pop_rel, pop_tot, electric_sources(Kwh)
ABW,2015,910361.29,2919553072.6257,0.544892394,104341,
AFG,1961,490797.7,548888895.555556,1.898475653,9169410,
AFG,1962,688594.27,546666677.777778,1.965750511,9351441,
AFG,1963,706735.98,751111191.111111,2.029893385,9543205,
AFG,1964,838550.83,800000044.444444,2.090247673,9744781,
AFG,1965,1006916.53,1006666637.77778,2.147566577,9956320,
AFG,1966,1091158.82,1399999966.66667,2.171008785,10174836,
AFG,1967,1281865.11,1673333417.77778,2.188107747,10399926,
AFG,1968,1223389.69,1373333366.66667,2.254572124,10637063,
AFG,1969,941231.98,1408888922.22222,2.3847205,10893776,
AFG,1970,1670397.69,1748886595.55556,2.536599489,11173642,
AFG,1971,1893931.41,1831108971.11111,2.665192329,11475445,
AFG,1972,1531165.69,1595555475.55556,2.714522752,11791215,
AFG,1973,1637243.4,1733333264.44444,2.659115951,12108963,
AFG,1974,1915677.68,2155555497.77778,2.47943603,12412950,
AFG,1975,2124525.68,2366666615.55556,2.200780319,12689160,
AFG,1976,1984225.38,2555555566.66667,1.98142011,12943093,
AFG,1977,2386745.67,2953333417.77778,1.747838882,13171306,
AFG,1978,2155419.66,3300000108.88889,1.281616595,13341198,
AFG,1979,2234903.94,3697940409.61098,0.522259984,13411056,
AFG,1980,1757021.97,3641723321.99546,-0.407546009,13356511,
AFG,1981,1979372.53,3478787909.09091,-1.393544249,13171673,
AFG,1982,2095539.37,,-2.219656411,12882528,
AFG,1983,2520091.42,,-2.712947662,12537730,
AFG,1984,2822415.06,,-2.695480494,12204292,
AFG,1985,3501893.65,,-2.20436802,11938208,
AFG,1986,3134071.92,,-1.706772001,11736179,
AFG,1987,3114159.9,,-1.128040913,11604534,
AFG,1988,2857083.9,,0.116016612,11618005,
AFG,1989,2764887.89,,2.136354595,11868877,
AFG,1990,2602407.59,,4.476896508,12412308,
AFG,1991,2426486.16,,6.900156175,13299017,
AFG,1992,1381521.84,,8.546120196,14485546,
AFG,1993,1333837.11,,8.790888641,15816603,
AFG,1994,1282488.38,,7.659777033,17075727,
AFG,1995,1231139.65,,5.884256812,18110657,
AFG,1996,1165134.92,,4.019468195,18853437,
AFG,1997,1084474.19,,2.636538892,19357126,
AFG,1998,1029461.47,,1.94731853,19737765,
AFG,1999,809568.74,,2.17043897,20170844,
AFG,2000,768195.25,,2.975052846,20779953,
AFG,2001,812074.37,,3.902805701,21606988,
AFG,2002,1064074.85,4055179566.34981,4.496719561,22600770,
AFG,2003,1187070.59,4515558808.10994,4.668361494,23680871,
AFG,2004,941455.62,5226778808.89209,4.321539296,24726684,
AFG,2005,1320250.12,6209137624.77181,3.682731797,25654277,
AFG,2006,1643246,6971285594.68013,2.990478094,26433049,
AFG,2007,2268343.1,9747879531.86311,2.493842299,27100536,
AFG,2008,4198329.64,10109225813.6696,2.268277145,27722276,
AFG,2009,6760313.49,12439087076.7667,2.397020991,28394813,
AFG,2010,8452224.14,15856574731.441,2.74657628,29185507,
AFG,2011,12226017.38,17804292964.1045,3.143125903,30117413,
AFG,2012,10742056.72,20001598505.7042,3.407586974,31161376,
AFG,2013,10000414.29,20561069558.2152,3.494589049,32269589,
AFG,2014,9789185.57,20484885119.7348,3.355581661,33370794,
AFG,2015,10107428.68,19907111418.9938,3.077083595,34413603,
AGO,1961,453711.97,,1.393362766,5531472,
AGO,1962,1179124.53,,1.383629325,5608539,
AGO,1963,1149723.39,,1.256554783,5679458,
AGO,1964,1222914.24,,0.97396171,5735044,
AGO,1965,1186155.38,,0.617543973,5770570,
AGO,1966,1552466.23,,0.184283276,5781214,
AGO,1967,991814.8,,-0.120652967,5774243,
AGO,1968,1669535.93,,-0.044881753,5771652,
AGO,1969,2783094.77,,0.546044668,5803254,
AGO,1970,3577915.33,,1.489917047,5890365,
AGO,1971,3405380.45,,2.521468087,6040777,0
AGO,1972,4500530.15,,3.381711085,6248552,0
AGO,1973,4873663.83,,3.898492612,6496962,0
AGO,1974,4866395.26,,3.98923282,6761380,0
AGO,1975,4408811.28,,3.81058451,7024000,0
AGO,1976,3280042.31,,3.573055855,7279509,0
AGO,1977,3527510.97,,3.432751989,7533735,0
AGO,1978,5399808.1,,3.354067837,7790707,0
AGO,1979,5489191.01,,3.374208831,8058067,0
AGO,1980,5334356.96,5930503400.83228,3.454405933,8341289,0
AGO,1981,5266774.02,5550483035.90815,3.523644107,8640446,0
AGO,1982,4635170.08,5550483035.90815,3.552888506,8952950,0
AGO,1983,5100534.83,5784341596.36339,3.567326642,9278096,0
AGO,1984,4985860.98,6131475065.23832,3.564244036,9614754,0
AGO,1985,4676114.24,7553560459.10428,3.547875982,9961997,0
AGO,1986,4633839.5,7072063345.44786,3.53169623,10320111,0
AGO,1987,5786028.76,8083872012.47326,3.514404774,10689250,0
AGO,1988,5049305.73,8769250549.73596,3.482401589,11068050,0
AGO,1989,4922809.97,10201099039.5655,3.434426879,11454777,0
AGO,1990,5088684.98,11228764963.1618,3.378480754,11848386,0
AGO,1991,5062876.68,10603784541.197,3.324456291,12248901,0
AGO,1992,5165043.98,8307810973.58848,3.280311952,12657366,0
AGO,1993,5748383.38,5768720421.61367,3.246641936,13075049,0
AGO,1994,3865595.55,4438321017.39068,3.226144493,13503747,0
AGO,1995,10948303.24,5538749259.94714,3.21685908,13945206,0
AGO,1996,10424825.05,7526446605.51712,3.21423426,14400719,0
AGO,1997,7347849.05,7648377412.83277,3.217320072,14871570,0
AGO,1998,7269605.77,6506229607.29432,3.228941421,15359601,0
AGO,1999,9129777.79,6152922942.98032,3.249247377,15866869,0
AGO,2000,9515060.92,9129594818.60749,3.277203555,16395473,0
AGO,2001,9671518.88,8936063723.20121,3.301198182,16945753,0
AGO,2002,12597545.05,15285594828.418,3.329256674,17519417,0
AGO,2003,8988367.85,17812705294.325,3.37881111,18121479,0
AGO,2004,18701931.74,23552052407.5488,3.453013829,18758145,0
AGO,2005,19006429.59,36970918699.2523,3.537557154,19433602,0
AGO,2006,22102407.09,52381006892.038,3.619574559,20149901,0
AGO,2007,24976104.38,65266452081.386,3.68063537,20905363,0
AGO,2008,25486004.45,88538611205.1433,3.710531322,21695634,0
